HIP ID,aim_parent_company_id,aim_brand_company_id,isin,HIP_industry,aim_category,parent_name,brand_name,display_name,hip_rating_currently_unavailable,hip_score (reference),earth_score (reference),legal_judgments,lobbying,board_diversity,decision_making,metrics,ceo_comp_to_employee_comp,employee_access_to_stock_options,employee_access_to_retirement_plan,employee_pay_salary,employee_pay_hourly,job_safety,hrc_score,supplier_sourcing__social_impact,women_employees,women_managers,employee_satisfaction,employee_retention,third_party_certifications__workforce_related,customer_satisfaction,community_development_investment,board_racial_diversity,management_racial_diversity,overall_racial_diversity,product__service__impact_on_people_AIM CATEGORY,HIP_industry,aim_category,display_name,energy_efficiency,ghg_emissions_scope1&2,ghg_emissions_scope3,waste_production,water_usage,carbon_reductions,renewable_power_usage,supplier_sourcing__environmental_impact,third_party_certifications__environment,product__service__impact_on_planet_AIM CATEGORY,hip_reporting
406,0,0,US1714841087,Gambling,Racing,CHURCHILL DOWNS,CHURCHILL DOWNS,Churchill Downs,x,15%,0%,0%,0%,7%,34%,9%,0%,87%,58%,0%,0%,6%,0%,0%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,75%,Gambling,Racing,Churchill Downs,0%,0%,0%,0%,0%,0%,0%,0%,4%,25%,0%
407,0,534,US1716041017,Restaurants & Bars,Food - Casual Dining,Chuy's Holdings,Chuy's,Chuy's,n,26%,0%,100%,0%,43%,34%,9%,100%,77%,44%,48%,10%,5%,0%,70%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Chuy's,0%,0%,0%,0%,0%,0%,0%,69%,4%,35%,0%
409,0,0,US17306X1028,Apparel Retailers,Department Store,Citi Trends,Citi Trends,Citi Trends,x,16%,2%,0%,0%,2%,19%,1%,0%,0%,41%,0%,63%,3%,0%,70%,47%,0%,0%,20%,0%,0%,0%,0%,0%,0%,70%,Apparel Retailers,Department Store,Citi Trends,0%,0%,0%,0%,0%,0%,0%,69%,4%,40%,9%
410,0,0,US14040H1059,Consumer Finance,Financial Institution,CAPITAL ONE,CAPITAL ONE,Capital one,x,58%,65%,0%,0%,46%,89%,33%,85%,88%,73%,100%,94%,9%,100%,70%,95%,78%,89%,20%,0%,90%,88%,0%,0%,53%,50%,Consumer Finance,Financial Institution,Capital one,78%,74%,0%,30%,48%,92%,100%,46%,4%,50%,62%
412,0,491,US1890541097,Nondur.Household Prod,Personal Care,CLOROX,Burts Bees,Burt's Bees,n,51%,44%,0%,0%,73%,45%,27%,52%,91%,86%,40%,0%,56%,100%,90%,0%,0%,59%,20%,25%,94%,57%,0%,0%,0%,75%,Nondur.Household Prod,Personal Care,Burt's Bees,45%,60%,0%,100%,38%,62%,10%,100%,4%,40%,79%
413,586,587,US8760301072,Clothing & Accessory,Apparel - High End,TAPESTRY,COACH,COACH,n,44%,42%,0%,0%,73%,49%,21%,0%,91%,55%,55%,97%,32%,0%,0%,55%,84%,24%,20%,0%,0%,95%,48%,51%,64%,60%,Clothing & Accessory,Apparel - High End,COACH,10%,0%,0%,30%,54%,67%,41%,0%,0%,30%,67%
414,0,474,US1912161007,Soft Drinks,Confectionery Stores,COCA COLA,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate,n,57%,49%,0%,45%,69%,97%,71%,80%,87%,73%,73%,0%,38%,0%,40%,87%,98%,24%,20%,100%,91%,95%,0%,0%,0%,45%,Soft Drinks,Confectionery Stores,Frankford Candy & Chocolate,47%,50%,0%,20%,45%,68%,10%,100%,20%,35%,83%
415,346,348,US1985161066,Clothing & Accessory,Apparel - Athletic,COLUMBIA SPORTSWEAR,COLUMBIA SPORTSWEAR,Columbia Sportswear,n,43%,62%,0%,100%,67%,45%,9%,0%,83%,71%,31%,78%,8%,0%,100%,92%,100%,13%,25%,0%,0%,51%,0%,0%,0%,60%,Clothing & Accessory,Apparel - Athletic,Columbia Sportswear,3%,77%,0%,20%,3%,44%,10%,85%,4%,30%,42%
416,0,475,US20030N1019,Broadcast & Entertain,Cable & Internet,COMCAST 'A',XFINITY,XFINITY,n,59%,51%,64%,45%,43%,89%,21%,69%,90%,78%,74%,0%,11%,100%,90%,77%,88%,24%,20%,0%,72%,94%,56%,0%,49%,95%,Broadcast & Entertain,Cable & Internet,XFINITY,13%,64%,0%,20%,5%,2%,10%,69%,4%,50%,53%
417,53,55,US20030N1019,Broadcast & Entertain,Movie Theater,COMCAST 'A',Fandango,Fandango,n,59%,51%,64%,45%,43%,89%,21%,69%,90%,78%,74%,0%,11%,100%,90%,77%,88%,24%,20%,0%,72%,94%,56%,0%,49%,80%,Broadcast & Entertain,Movie Theater,Fandango,13%,64%,0%,20%,5%,2%,10%,69%,4%,50%,53%
418,53,56,US2082421072,Specialty Retailers,Home Furniture & Equipment,Conn's,Conn's,Conn's,n,20%,2%,60%,0%,36%,34%,9%,0%,87%,0%,68%,67%,9%,0%,70%,0%,0%,13%,20%,25%,0%,20%,0%,0%,0%,65%,Specialty Retailers,Home Furniture & Equipment,Conn's,0%,0%,0%,0%,0%,0%,0%,100%,4%,35%,0%
420,0,0,PAP310761054,Airlines,"Airlines - International, Latin America",Copa Holdings,Copa Airlines,Copa Airlines,n,29%,5%,0%,0%,5%,79%,9%,0%,82%,0%,61%,0%,7%,0%,40%,0%,0%,28%,20%,0%,0%,40%,0%,0%,0%,65%,Airlines,"Airlines - International, Latin America",Copa Airlines,10%,0%,0%,20%,0%,8%,0%,69%,4%,35%,1%
421,389,390,US2172041061,Spec.Consumer Service,Car Sellers,COPART,COPART,Copart,n,37%,1%,0%,0%,7%,34%,9%,100%,87%,0%,56%,97%,4%,0%,20%,90%,76%,13%,20%,0%,0%,0%,0%,0%,0%,45%,Spec.Consumer Service,Car Sellers,Copart,0%,0%,0%,0%,0%,0%,0%,0%,4%,25%,9%
422,0,624,US22122P2002,Restaurants & Bars,Food - Casual Dining,Cosi,Cosi,Cosi,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,47%,42%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Cosi,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
424,0,0,US22238M1099,Restaurants & Bars,Food - Fast Food,Country Style Cooking Restaurant Chain,Country Style Cooking Restaurant,Country Style Cooking Restaurant,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Country Style Cooking Restaurant,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
426,0,0,US2270461096,Clothing & Accessory,Apparel - Footwear,Crocs Inc.,Crocs Inc.,Crocs Inc.,x,26%,0%,0%,0%,36%,34%,9%,0%,87%,0%,49%,63%,5%,0%,90%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Clothing & Accessory,Apparel - Footwear,Crocs Inc.,0%,0%,0%,0%,0%,0%,0%,69%,4%,30%,0%
427,0,0,US2296631094,Specialty REITs,Self-Storage,CubeSmart,CubeSmart,CubeSmart,n,29%,4%,0%,0%,71%,34%,9%,0%,84%,52%,47%,0%,4%,0%,60%,94%,0%,13%,20%,0%,0%,20%,0%,0%,0%,75%,Specialty REITs,Self-Storage,CubeSmart,3%,0%,0%,30%,3%,0%,10%,46%,4%,65%,11%
429,0,633,DE0007100000,Automobiles,Car Sharing,DAIMLER,CAR2GO,car2Go,n,70%,65%,68%,100%,65%,91%,85%,100%,73%,0%,83%,0%,39%,90%,90%,50%,53%,50%,88%,100%,0%,61%,0%,0%,0%,70%,Automobiles,Car Sharing,car2Go,68%,66%,0%,100%,59%,76%,10%,100%,99%,45%,100%
430,419,420,US2371941053,Restaurants & Bars,Food - Casual Dining,DARDEN RESTAURANTS,BAHAMA BREEZE ISLAND GRILLE,Bahama Breeze Island Grille,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,50%,33%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,60%,Restaurants & Bars,Food - Casual Dining,Bahama Breeze Island Grille,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
431,322,329,US2371941053,Restaurants & Bars,Food - Fine Dining,DARDEN RESTAURANTS,EDDIE V's PRIME SEAFOOD,Eddie V's Prime Seafood,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,66%,0%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,75%,Restaurants & Bars,Food - Fine Dining,Eddie V's Prime Seafood,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
432,322,330,US2371941053,Restaurants & Bars,Food - Casual Dining,DARDEN RESTAURANTS,LONGHORN STEAKHOUSE,Longhorn Steakhouse,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,45%,39%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,60%,Restaurants & Bars,Food - Casual Dining,Longhorn Steakhouse,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
434,322,331,US2371941053,Restaurants & Bars,Food - Fine Dining,DARDEN RESTAURANTS,SEASONS 52 FRESH GRILL,Seasons 52,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,61%,39%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,75%,Restaurants & Bars,Food - Fine Dining,Seasons 52,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
435,322,332,US2371941053,Restaurants & Bars,Food - Fine Dining,DARDEN RESTAURANTS,THE CAPITAL GRILLE,The Capital Grille,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,65%,44%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,75%,Restaurants & Bars,Food - Fine Dining,The Capital Grille,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
436,322,333,US2371941053,Restaurants & Bars,Food - Casual Dining,DARDEN RESTAURANTS,YARD HOUSE,Yard House,n,36%,5%,0%,0%,65%,34%,9%,96%,76%,49%,47%,63%,5%,100%,70%,87%,0%,14%,56%,0%,91%,20%,0%,33%,53%,60%,Restaurants & Bars,Food - Casual Dining,Yard House,3%,0%,0%,20%,3%,2%,0%,69%,4%,35%,16%
437,322,334,US2383371091,Restaurants & Bars,Food - Casual Dining,Dave & Buster's Entertainment,Dave & Buster's Entertainment,Dave & Buster's Entertainment,n,25%,2%,0%,0%,58%,34%,9%,82%,80%,47%,47%,39%,6%,0%,70%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Dave & Buster's Entertainment,3%,0%,0%,20%,3%,0%,0%,46%,4%,35%,0%
439,0,0,US2435371073,Footwear,Apparel - Footwear,Deckers Outdoor Corp.,DECKERS,Deckers,n,44%,31%,0%,0%,73%,45%,9%,0%,89%,74%,0%,100%,35%,0%,90%,78%,89%,13%,20%,0%,0%,53%,0%,0%,64%,60%,Footwear,Apparel - Footwear,Deckers,75%,0%,0%,20%,8%,8%,10%,100%,4%,30%,50%
440,524,525,US2450771025,Restaurants & Bars,Food - Fine Dining,Del Frisco's Restaurant Group,Del Frisco's Restaurant Group,Del Frisco's Restaurant Group,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,Restaurants & Bars,Food - Fine Dining,Del Frisco's Restaurant Group,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
441,0,0,US2454961044,Restaurants & Bars,Food - Fast Food,Del Taco Restaurants,DEL TACO,Del Taco,x,24%,0%,0%,0%,37%,33%,9%,93%,79%,45%,48%,63%,5%,0%,90%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Del Taco,0%,0%,0%,0%,0%,0%,0%,100%,4%,35%,0%
443,0,0,US24869P1049,Restaurants & Bars,Food - Casual Dining,Denny's Corporation,Denny's Corporation,Denny's Corporation,n,31%,0%,0%,0%,67%,34%,9%,88%,84%,0%,55%,0%,5%,75%,60%,0%,0%,13%,20%,0%,84%,20%,0%,0%,75%,60%,Restaurants & Bars,Food - Casual Dining,Denny's Corporation,0%,0%,0%,0%,0%,0%,0%,46%,4%,35%,0%
444,0,0,US25065D1000,Apparel Retailers,Apparel,Destination Maternity,Destination Maternity,Destination Maternity,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,48%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,Apparel Retailers,Apparel,Destination Maternity,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%
445,0,0,US25065K1043,Apparel Retailers,Apparel,Destination XL Group,Destination XL Group,Destination XL Group,x,14%,2%,0%,0%,2%,19%,1%,0%,0%,63%,42%,54%,2%,0%,20%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,60%,Apparel Retailers,Apparel,Destination XL Group,0%,0%,0%,0%,0%,0%,0%,0%,4%,25%,0%
447,0,0,DE0008232125,Airlines,"Airlines - International, Europe",Deutsche Lufthansa AG,Lufthansa,Lufthansa,x,48%,31%,47%,0%,73%,77%,73%,99%,5%,0%,76%,0%,12%,0%,60%,92%,48%,28%,55%,100%,0%,40%,0%,0%,0%,65%,Airlines,"Airlines - International, Europe",Lufthansa,29%,38%,0%,20%,15%,60%,10%,100%,60%,35%,65%
448,391,392,US2533931026,Specialty Retailers,Sporting Goods,DICK'S SPORTING GOODS,DICK'S SPORTING GOODS,Dick's Sporting Goods,n,38%,44%,0%,0%,49%,34%,21%,0%,80%,56%,0%,0%,7%,20%,70%,0%,86%,13%,20%,0%,89%,70%,0%,0%,0%,75%,Specialty Retailers,Sporting Goods,Dick's Sporting Goods,49%,65%,0%,82%,3%,53%,0%,69%,4%,40%,46%
449,0,659,US2540671011,Apparel Retailers,Department Store,DILLARDS 'A',DILLARDS 'A',Dillards 'a',n,33%,1%,0%,0%,28%,33%,9%,99%,5%,54%,39%,81%,7%,0%,90%,0%,0%,13%,20%,0%,93%,0%,0%,0%,0%,70%,Apparel Retailers,Department Store,Dillards 'a',0%,0%,0%,0%,0%,0%,0%,77%,4%,40%,2%
450,0,0,US2544231069,Restaurants & Bars,Food - Casual Dining,DineEquity,Applebee's,Applebee's,n,23%,2%,0%,0%,49%,34%,9%,0%,89%,62%,0%,0%,5%,0%,90%,0%,0%,13%,20%,0%,89%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Applebee's,3%,0%,0%,20%,0%,0%,0%,69%,4%,35%,2%
451,0,0,US2544231069,Restaurants & Bars,Food - Casual Dining,DineEquity,IHOP,IHOP,n,23%,2%,0%,0%,49%,34%,9%,0%,89%,62%,32%,10%,5%,0%,90%,0%,0%,13%,20%,0%,89%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,IHOP,3%,0%,0%,20%,0%,0%,0%,69%,4%,35%,2%
452,0,0,US25456K1016,Drug Retailers,Pharmacy,DIPLOMAT PHARMACY,DIPLOMAT PHARMACY,Diplomat Pharmacy,n,26%,0%,0%,0%,65%,34%,9%,22%,76%,62%,37%,81%,5%,0%,50%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,85%,Drug Retailers,Pharmacy,Diplomat Pharmacy,0%,0%,0%,0%,0%,0%,0%,31%,4%,55%,0%
453,0,504,US00206R1023,Fixed Line Telecom.,Cable & Internet,DIRECTV (AT&T),DIRECTV,DirecTV,n,66%,56%,0%,53%,73%,99%,55%,75%,85%,0%,44%,100%,39%,0%,90%,74%,79%,70%,67%,25%,75%,83%,0%,43%,50%,95%,Fixed Line Telecom.,Cable & Internet,DirecTV,63%,59%,0%,73%,55%,71%,45%,100%,40%,50%,100%
454,0,512,US2547091080,Consumer Finance,Financial Services,Discover Financial Services,DISCOVER,Discover,n,43%,5%,0%,0%,63%,86%,21%,94%,89%,69%,98%,94%,8%,100%,0%,84%,98%,24%,20%,0%,0%,20%,0%,0%,0%,50%,Consumer Finance,Financial Services,Discover,10%,0%,0%,20%,3%,6%,0%,0%,4%,50%,15%
455,492,493,US25470M1099,Broadcast & Entertain,Video,DISH NETWORK,SLING.COM,Sling.com,n,39%,2%,100%,0%,31%,34%,9%,47%,86%,63%,78%,88%,4%,0%,70%,0%,0%,13%,20%,0%,77%,20%,0%,0%,0%,70%,Broadcast & Entertain,Video,Sling.com,0%,0%,0%,30%,0%,0%,0%,69%,4%,70%,0%
456,64,65,US25470M1099,Broadcast & Entertain,Cable & Internet,DISH NETWORK,DISH NETWORK,Dish Network,n,39%,2%,100%,0%,31%,34%,9%,47%,86%,63%,78%,88%,4%,0%,70%,0%,0%,13%,20%,0%,77%,20%,0%,0%,0%,95%,Broadcast & Entertain,Cable & Internet,Dish Network,0%,0%,0%,30%,0%,0%,0%,69%,4%,50%,0%
461,64,66,US2604121010,Specialty Retailers,Sporting Goods - Speciality,Dover Saddlery,Dover Saddlery,Dover Saddlery,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,48%,0%,49%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,Specialty Retailers,Sporting Goods - Speciality,Dover Saddlery,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
462,0,0,US2505651081,Apparel Retailers,Apparel - Footwear,DSW,DSW,DSW,x,31%,5%,0%,0%,85%,34%,9%,0%,83%,60%,0%,0%,7%,90%,70%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Apparel Retailers,Apparel - Footwear,DSW,3%,0%,0%,30%,0%,2%,0%,69%,4%,30%,3%
463,0,414,US2333311072,Con. Electricity,Utilities,DTE Energy,DTE Energy,DTE Energy,n,58%,41%,0%,0%,46%,97%,21%,89%,91%,83%,77%,0%,73%,0%,30%,63%,58%,16%,87%,25%,83%,90%,0%,38%,30%,65%,Con. Electricity,Utilities,DTE Energy,13%,29%,0%,100%,27%,41%,58%,100%,60%,25%,80%
464,0,483,US26441C2044,Multiutilities,Utilities,Duke Energy,Duke Energy,Duke Energy,n,57%,31%,0%,35%,39%,94%,47%,87%,87%,83%,79%,0%,22%,100%,90%,57%,52%,43%,88%,0%,83%,85%,0%,0%,21%,65%,Multiutilities,Utilities,Duke Energy,13%,26%,0%,87%,26%,52%,50%,100%,4%,25%,86%
468,0,585,GB00B7KR2P84,Airlines,"Airlines - International, Europe",easyJet,easyJet,easyJet,n,51%,17%,0%,100%,73%,21%,21%,100%,83%,0%,77%,0%,11%,0%,90%,87%,0%,50%,90%,25%,80%,0%,0%,0%,0%,65%,Airlines,"Airlines - International, Europe",easyJet,3%,34%,0%,20%,0%,45%,0%,100%,20%,35%,39%
469,0,393,US2786421030,Spec.Consumer Service,Online Retail,EBAY,EBAY,eBay,n,63%,60%,0%,0%,69%,89%,28%,90%,97%,79%,100%,100%,7%,100%,70%,84%,66%,13%,17%,0%,91%,40%,0%,0%,58%,80%,Spec.Consumer Service,Online Retail,eBay,65%,73%,0%,0%,46%,64%,95%,69%,4%,60%,57%
470,0,625,US2686031079,Restaurants & Bars,Food - Fast Food,El Pollo Loco,El Pollo Loco,El Pollo Loco,n,26%,0%,49%,0%,36%,34%,9%,100%,77%,46%,52%,71%,5%,0%,70%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,El Pollo Loco,0%,0%,0%,0%,0%,0%,0%,100%,4%,35%,0%
471,0,0,US28660G1067,Personal Products,Cosmetics,Elizabeth Arden,Elizabeth Arden,Elizabeth Arden,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,Personal Products,Cosmetics,Elizabeth Arden,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%
472,0,0,US2944291051,Specialty Finance,Credit Reporting Agencies,EQUIFAX,EQUIFAX,Equifax,x,42%,28%,100%,100%,48%,44%,9%,29%,89%,83%,37%,0%,6%,0%,10%,92%,70%,13%,20%,0%,0%,40%,0%,0%,0%,80%,Specialty Finance,Credit Reporting Agencies,Equifax,3%,74%,0%,30%,0%,0%,0%,15%,20%,70%,17%
473,0,632,US29786A1060,Specialty Retailers,Online Retail,ETSY,ETSY,Etsy,n,57%,61%,0%,0%,99%,34%,39%,100%,96%,72%,100%,0%,4%,0%,60%,96%,90%,49%,20%,0%,0%,20%,0%,0%,24%,80%,Specialty Retailers,Online Retail,Etsy,67%,92%,0%,30%,3%,73%,91%,46%,4%,60%,55%
474,0,0,TW0002618006,Airlines,"Airlines - International, Asia",Eva Airways,Eva Air,EVA Air,n,49%,31%,0%,0%,31%,69%,27%,100%,0%,67%,70%,0%,17%,0%,30%,77%,84%,13%,91%,100%,99%,59%,0%,0%,0%,65%,Airlines,"Airlines - International, Asia",EVA Air,20%,33%,0%,67%,53%,45%,10%,69%,20%,35%,90%
475,394,395,US3004871055,Broadcast & Entertain,Shopping Channel,EVINE Live,EVINE Live,Evine Live,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,61%,0%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,70%,Broadcast & Entertain,Shopping Channel,Evine Live,0%,0%,0%,0%,0%,0%,0%,0%,0%,65%,0%
477,0,0,US30212P3038,Travel & Tourism,Travel Service,EXPEDIA,TRAVELOCITY,Travelocity,x,52%,52%,100%,0%,59%,35%,9%,55%,93%,77%,93%,0%,5%,100%,70%,98%,0%,13%,20%,0%,90%,20%,0%,0%,0%,80%,Travel & Tourism,Travel Service,Travelocity,0%,79%,0%,0%,0%,0%,0%,0%,4%,70%,26%
479,367,369,US30219E1038,Apparel Retailers,Apparel,Express Inc.,Express Inc.,Express Inc.,n,21%,0%,0%,0%,65%,34%,9%,0%,82%,0%,93%,0%,5%,0%,70%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Apparel Retailers,Apparel,Express Inc.,0%,0%,0%,0%,0%,0%,0%,15%,4%,25%,0%
480,0,0,US30224P2002,Hotels,Hotel - Midscale,EXTENDED STAY AMERICA,EXTENDED STAY AMERICA,Extended Stay America,n,36%,36%,0%,0%,33%,34%,9%,0%,81%,0%,52%,78%,6%,0%,20%,68%,68%,48%,20%,0%,0%,31%,0%,0%,0%,75%,Hotels,Hotel - Midscale,Extended Stay America,3%,50%,0%,0%,3%,0%,0%,0%,4%,45%,44%
481,267,269,US30225T1025,Specialty REITs,Self-Storage,Extra Space Storage,Extra Space Storage,Extra Space Storage,n,43%,38%,0%,0%,43%,34%,9%,95%,87%,0%,68%,100%,6%,0%,60%,97%,55%,13%,20%,0%,0%,20%,0%,0%,0%,75%,Specialty REITs,Self-Storage,Extra Space Storage,3%,54%,0%,20%,3%,0%,10%,69%,4%,65%,43%
484,0,634,US30603D1090,"Food Retail,Wholesale",Grocery - Local,Fairway Group Holdings,Fairway,Fairway,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,48%,0%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,"Food Retail,Wholesale",Grocery - Local,Fairway,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,0%
485,0,0,US2567461080,Specialty Retailers,Dollar Store,DOLLAR TREE,Family Dollar Stores,Family Dollar Stores,x,40%,36%,73%,0%,43%,34%,21%,0%,76%,48%,35%,49%,7%,20%,90%,71%,0%,14%,20%,0%,85%,20%,0%,0%,60%,80%,Specialty Retailers,Dollar Store,Family Dollar Stores,3%,57%,0%,20%,3%,2%,0%,69%,4%,40%,40%
487,0,660,US31428X1063,Delivery Services,Printing & Copying,FEDEX,FEDEX OFFICE,FedEx Office,n,63%,48%,100%,0%,58%,96%,40%,81%,79%,70%,54%,78%,22%,100%,90%,66%,60%,78%,25%,100%,87%,55%,0%,39%,54%,70%,Delivery Services,Printing & Copying,FedEx Office,32%,47%,0%,85%,5%,65%,39%,100%,25%,45%,89%
488,142,144,US31428X1063,Delivery Services,Printing & Copying,FEDEX,KINKOS,Kinko's,n,63%,48%,100%,0%,58%,96%,40%,81%,79%,70%,54%,78%,22%,100%,90%,66%,60%,78%,25%,100%,87%,55%,0%,39%,54%,70%,Delivery Services,Printing & Copying,Kinko's,32%,47%,0%,85%,5%,65%,39%,100%,25%,45%,89%
489,0,0,NL0010877643,Automobiles,Automobile,Fiat Chrysler Automobiles,Fiat Chrysler Automobiles,Fiat Chrysler,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,81%,99%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,Automobiles,Automobile,Fiat Chrysler,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%
490,0,421,US3157851052,Insurance Brokers,Insurance - Health & Life,FIDELITY INSURANCE SVC,FIDELITY INSURANCE SVC,Fidelity Insurance Svc,n,19%,0%,0%,0%,7%,33%,9%,0%,0%,0%,0%,0%,4%,0%,30%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,80%,Insurance Brokers,Insurance - Health & Life,Fidelity Insurance Svc,0%,0%,0%,0%,0%,0%,0%,69%,4%,70%,0%
491,0,0,US3179231002,Apparel Retailers,Apparel - Footwear,Finish Line,Finish Line,Finish Line,n,18%,0%,0%,0%,53%,34%,9%,0%,38%,45%,40%,54%,5%,0%,90%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Apparel Retailers,Apparel - Footwear,Finish Line,0%,0%,0%,0%,0%,0%,0%,100%,4%,30%,0%
493,0,0,US33812L1026,Recreational Products,Sporting Goods - Speciality,Fitbit,Fitbit,Fitbit,n,33%,0%,100%,0%,65%,33%,9%,100%,94%,0%,65%,0%,4%,0%,0%,0%,0%,13%,20%,0%,0%,0%,0%,0%,0%,75%,Recreational Products,Sporting Goods - Speciality,Fitbit,0%,0%,0%,0%,0%,0%,0%,0%,4%,40%,0%
495,0,591,US3441771009,Restaurants & Bars,Food - Fine Dining,Fogo de Chao,Fogo de Chao,Fogo De Chao,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,75%,Restaurants & Bars,Food - Fine Dining,Fogo De Chao,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%
496,0,0,US3448491049,Apparel Retailers,Apparel - Footwear,FOOT LOCKER,FOOT LOCKER,Foot Locker,x,45%,48%,82%,0%,79%,34%,9%,0%,77%,56%,64%,49%,5%,10%,70%,98%,0%,55%,20%,0%,0%,20%,0%,0%,47%,60%,Apparel Retailers,Apparel - Footwear,Foot Locker,3%,70%,0%,20%,3%,0%,10%,15%,4%,30%,26%
497,0,415,US3453708600,Automobiles,Automobile,FORD MOTOR,FORD MOTOR,Ford,n,60%,64%,0%,0%,50%,100%,46%,80%,81%,83%,76%,100%,54%,100%,90%,64%,56%,38%,20%,25%,91%,65%,0%,0%,35%,45%,Automobiles,Automobile,Ford,63%,64%,0%,100%,61%,77%,10%,100%,60%,25%,91%
498,0,422,US34988V1061,Clothing & Accessory,Apparel,FOSSIL GROUP,FOSSIL GROUP,Fossil Group,n,30%,6%,0%,0%,73%,42%,21%,0%,87%,52%,0%,58%,4%,75%,60%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,60%,Clothing & Accessory,Apparel,Fossil Group,3%,0%,0%,20%,5%,0%,10%,69%,4%,25%,6%
